1.32,0.35307,0.52036,-0.1043
0.85223,0.66657,0.74311,0.20391
1.6618,0.21327,0.27113,0.26995
1.3126,0.54972,0.57904,-0.23133
0.56142,0.32251,0.99,0.42073
1.1245,0.60371,0.86634,-0.1793
0.40037,0.30793,0.76771,0.48034
0.62575,0.27415,0.86342,0.13998
1.2452,0.28298,0.38079,0.23764
-0.062143,0.3011,1.0979,0.39728
0.1766,0.75454,1.1416,0.1472
1.2614,0.61228,0.23147,0.36698
-0.40343,0.51001,1.593,-0.24716
0.65749,0.52116,0.51021,-0.080734
-0.13294,0.48429,1.3325,-0.1504
0.2626,0.42612,1.211,-0.33441
0.7046,0.58846,0.92039,0.045059
-0.063296,0.35722,1.1505,0.083362
1.1533,0.26999,0.62078,-0.0013727
0.26858,0.99152,0.54974,0.19827
0.91017,-0.11453,0.73693,0.47062
1.0882,0.63702,0.59294,0.0096063
-0.12406,0.30505,0.61231,-0.13413
0.29207,0.0040984,1.0382,-0.12559
0.80056,-0.2339,1.1868,0.11738
2.0932,0.14796,0.10065,-0.23611
0.79462,0.50884,1.0303,0.057545
1.3889,0.3983,0.41991,0.063929
1.4964,-0.041729,0.46583,-0.20473
1.1576,0.41193,0.056697,-0.12373
0.74881,0.6616,1.1481,-0.22423
0.19315,0.33973,1.496,0.17775
0.79398,0.39947,1.0654,0.18133
0.79072,0.34238,0.63098,0.42613
1.8229,0.28026,0.60765,-0.34643
1.1966,0.70343,0.88339,-0.40189
0.6636,0.49286,0.86878,0.12084
0.68069,0.50776,1.0277,-0.12009
1.1612,0.5482,0.44714,-0.0041702
0.56555,0.8172,1.0025,-0.12388
1.2062,0.072591,0.57662,0.39732
0.48571,0.96104,1.1153,-0.12104
0.26293,0.12284,1.4051,0.038781
1.0396,0.40783,0.63765,-0.063489
0.33663,0.4385,0.69429,0.32709
0.78154,0.30601,1.1445,-0.21593
1.6352,0.34789,0.73644,-0.24239
0.59892,0.97678,0.6122,0.20631
0.68193,0.72456,0.62857,-0.36353
0.026765,0.71811,1.0251,0.37383
0.85934,0.43389,0.81248,-0.48294
0.69961,0.62661,0.96521,-0.0060382
0.51871,0.69049,0.55007,0.14209
0.30192,0.6877,1.2899,-0.34057
1.6848,-0.018802,0.34297,0.12759
0.60549,0.584,1.2183,-0.17958
0.82305,0.86084,0.48721,-0.83654
0.59203,0.74945,1.0259,0.16549
0.56376,0.14896,0.86106,0.45806
0.8853,0.32676,1.1103,-0.42452
0.71534,0.27326,0.84774,0.15313
1.3686,0.27393,0.46182,-0.35878
0.94148,-0.0033493,0.87079,-0.24351
-0.0011782,0.78501,1.1411,-0.37781
0.43215,0.37137,1.0223,-0.090619
-0.42647,0.11419,1.2547,0.42929
0.48181,0.34226,1.147,0.011154
0.33866,1.0522,0.68303,0.27143
0.2475,0.31555,1.4162,-0.059835
0.90496,0.76909,0.42378,-0.26276
-0.23448,0.18007,1.1137,-0.12654
0.44524,1.2341,0.66212,-0.26413
1.4021,0.42338,0.94184,-0.057355
0.48407,0.101,0.97204,-0.13436
1.5379,0.48068,0.15496,0.099841
0.17838,0.62207,1.2484,-0.14029
1.1263,-0.39307,0.5537,0.076857
0.87977,0.14105,0.58934,0.33335
0.40622,1.1949,0.10567,-0.0059614
1.6605,-0.062931,0.046005,-0.030821
0.91425,0.66833,0.33059,0.2267
0.71977,0.55154,1.098,0.24488
0.88417,0.45409,0.5891,-0.32113
1.0748,0.4937,0.46381,-0.36482
1.9268,0.51268,-0.12757,0.17731
0.19896,0.30604,1.1267,0.11218
0.68734,0.67361,0.63977,0.24234
1.4013,0.47116,0.27379,0.089766
0.44226,0.61252,0.99683,-0.44925
0.5198,0.29909,0.95831,0.67856
0.84694,0.7908,0.7703,-0.076931
0.17518,-0.04369,1.4433,-0.039302
-0.084386,0.69296,1.3291,-0.12716
0.66933,0.24793,1.019,-0.51389
0.6068,0.69381,0.92772,-0.56792
0.94367,0.30539,0.70234,0.093168
0.51562,0.38715,1.0212,-0.16867
1.2535,0.86281,0.45987,-0.060362
0.74941,0.23903,0.97215,0.50167
0.82489,0.81351,0.65803,-0.49796
